date,interest_rate,inflation,gdp,liquidity
1992-11-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1992-12-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1993-01-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1993-02-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1993-03-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1993-04-01,7.2,0.347811226864587,1211331651866.09,135.580416035304
1993-05-01,8.46,0.347811226864587,1211331651866.09,135.580416035304
1993-06-01,8.46,0.347811226864587,1211331651866.09,135.580416035304
1993-07-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1993-08-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1993-09-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1993-10-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1993-11-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1993-12-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-01-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-02-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-03-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-04-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-05-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-06-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-07-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-08-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-09-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-10-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-11-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1994-12-01,10.08,0.347811226864587,1211331651866.09,135.580416035304
1995-01-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-02-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-03-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-04-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-05-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-06-01,10.26,0.347811226864587,1211331651866.09,135.580416035304
1995-07-01,10.44,0.347811226864587,1211331651866.09,135.580416035304
